06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
fisetin,C017875,528-48-3,Diabetic Neuropathies,MESH:D003929,,CASP3,19.96,,12502508
Cocaine,D003042,50-36-2,"CATARACT 6, MULTIPLE TYPES",OMIM:116600,,EPHA2,4.51,116600,
Tretinoin,D014212,302-79-4,Chemical and Drug Induced Liver Injury,MESH:D056486,,MIR23A,3.6,,28545106
Patulin,D010365,149-29-1,Hyperalgesia,MESH:D006930,,IL1B,11.85,,10401557|12727271|17320857|20937348|27093858|7582491
fluxapyroxad,C000591719,,Neoplasm Metastasis,MESH:D009362,,ABCB1,2.93,,12015757
ochratoxin A,C025589,303-47-9,Osteoporosis,MESH:D010024,,PKM,12.18,,18924182
Acrylamide,D020106,,Focal cortical dysplasia of Taylor,MESH:C537067,,TSC2,7.95,607341,28215400
triadimefon,C032910,43121-43-3,"Liver Neoplasms, Experimental",MESH:D008114,,TGFB1,10.15,,28100771
Butyrates,D002087,,Pancreatic Neoplasms,MESH:D010190,,MYC,52.0,,25961927
Pentoxifylline,D010431,6493-05-6,Atherosclerosis,MESH:D050197,,CRP,33.83,,16931792
"Toluene 2,4-Diisocyanate",D014051,584-84-9,Chloracne,MESH:D054506,,GSTM3,19.28,,17101203
Leukotriene C4,D017997,72025-60-6,Osteoarthritis,MESH:D010003,,IL1B,2.79,,21954917|37943572
carveol,C075856,99-48-9,Pulmonary Fibrosis,MESH:D011658,,IL1B,27.83,,17266442|23640035
Propylthiouracil,D011441,51-52-5,Nerve Degeneration,MESH:D009410,,SLC18A2,4.22,,18643795
Formaldehyde,D005557,50-00-0,Anemia,MESH:D000740,,CDK6,2.81,,28255017
Clozapine,D003024,5786-21-0,"Fractures, Bone",MESH:D050723,,SLC25A13,3.61,,22504420
4-methylene-2-octyl-5-oxofuran-3-carboxylic acid,C406734,,Heart Valve Diseases,MESH:D006349,,IL1B,13.0,,21335463
panaxytriol,C057682,87005-03-6,Brain Injuries,MESH:D001930,,TNF,13.75,,19800810|21549006
Anthocyanins,D000872,,"Diabetes Mellitus, Experimental",MESH:D003921,,MPO,54.06,,20388520
Cellulose,D002482,9004-34-6,Cocaine-Related Disorders,MESH:D019970,,EGR1,4.47,,16157275|16738229|18311559
Zeranol,D015029,26538-44-3,Celiac Disease,MESH:D002446,,CXCL10,37.18,,30097691
Zeranol,D015029,26538-44-3,Liver Cirrhosis,MESH:D008103,,FBN1,11.51,,26396155
Tacrolimus,D016559,109581-93-3,"Mesothelioma, Malignant",MESH:D000086002,,CSF1,59.23,,25162674
BQ 22-708,C014926,39715-02-1,Osteoporosis,MESH:D010024,,REN,5.27,,18847324
Cuprizone,D003471,370-81-0,Acute Kidney Injury,MESH:D058186,,TNF,2.66,,16595132|18460982|20623750
resolvin D2,C545423,,Skin Diseases,MESH:D012871,,IL6,21.16,,22533443
Methotrexate,D008727,59-05-2,Malnutrition,MESH:D044342,,MTHFR,4.82,,16709328
ferric oxide,C000499,1309-37-1,Azoospermia,MESH:D053713,,BCL2,2.96,,20610805
"7,3'-dihydroxy-4'-methoxyisoflavone",C121707,,Neuroblastoma,MESH:D009447,,ESR1,12.67,,27366082
4-(4-cyclohexyl-2-methyloxazol-5-yl)-2-fluorobenzenesulfonamide,C110453,,Copper-Overload Cirrhosis,MESH:C566858,,ACTA2,5.92,,22879914
methacrylaldehyde,C039175,78-85-3,Myocardial Ischemia,MESH:D017202,,TMED2,19.7,,16214533
Copper,D003300,7440-50-8,Insulin Resistance,MESH:D007333,,HMOX1,8.96,,18375438|19171794
alpha-pyrrolidinononanophenone,C000621989,,Hepatorenal Syndrome,MESH:D006530,,HMOX1,4.64,,21253390
Particulate Matter,D052638,,Breast Neoplasms,MESH:D001943,,AGR2,191.81,,20531310
dibromoacetic acid,C088674,,"Adrenal Hyperplasia, Congenital",MESH:D000312,,CYP17A1,5.05,,18645707
bromfenac,C053083,91714-94-2,Hepatolenticular Degeneration,MESH:D006527,,CXCL8,4.12,,25002079
Oxygen,D010100,7782-44-7,Premature Birth,MESH:D047928,,IL4,4.38,,23982189|26055944
Halothane,D006221,151-67-7,Breast Neoplasms,MESH:D001943,,DDIT3,19.6,,14604972
Gentamicins,D005839,,Appendicitis,MESH:D001064,,IFNG,5.28,,16367942
Cadmium Chloride,D019256,10108-64-2,Muscular Atrophy,MESH:D009133,,GH1,2.44,,8937196
decamethrin,C017180,52820-00-5,Hematuria,MESH:D006417,,ASPG,10.96,,2187653
methyllycaconitine,C054634,21019-30-7,Mucositis,MESH:D052016,,IL1B,3.0,,20844880
Cholera Toxin,D002772,9012-63-9,Neuroblastoma,MESH:D009447,,TNF,15.75,,34626302
titanium dioxide,C009495,13463-67-7,"Hypertension, Pulmonary",MESH:D006976,,LOX,3.27,,24614111
alpha phellandrene,C005403,99-83-2,Myocardial Ischemia,MESH:D017202,,NFKBIA,8.58,,16214533
DEET,D003671,134-62-3,"Amyotrophic Lateral Sclerosis 2, Juvenile",MESH:C565957,,ALS2,4.94,205100,
"Fatty Acids, Omega-3",D015525,,"Burns, Chemical",MESH:D002057,,IL1B,10.61,,22533443
lipoarabinomannan,C050016,,Lichenoid Eruptions,MESH:D017512,,CXCL8,5.28,,18393961
Amiodarone,D000638,1951-25-3,Fatty Liver,MESH:D005234,,CAT,23.39,,10860543
Pregnenolone Carbonitrile,D011285,1434-54-4,Hypertension,MESH:D006973,,ITM2B,16.37,,22228705
"Iron, Dietary",D019266,,Cerebral Hemorrhage,MESH:D002543,,BCL2,11.89,,12721362
Fluoxetine,D005473,54910-89-3,Nerve Degeneration,MESH:D009410,,CASP3,19.61,,14999069
pirinixic acid,C006253,50892-23-4,Huntington Disease-Like 1,MESH:C566398,,PRNP,3.76,603218,
Curcumin,D003474,458-37-7,Nephrotic Syndrome,MESH:D009404,,COL4A1,12.53,,1281619
Piperonyl Butoxide,D010882,51-03-6,"Cell Transformation, Neoplastic",MESH:D002471,,JUN,35.97,,21726611|8777434
clothianidin,C480342,,Hypertension,MESH:D006973,,REG3G,5.02,,27798352
boric acid,C032688,11113-50-1,Heart Failure,MESH:D006333,,SOD1,59.12,,20304815
Glyceraldehyde,D005985,367-47-5,Flushing,MESH:D005483,,ALDH2,4.68,,8903321
Tunicamycin,D014415,11089-65-9,Stomach Neoplasms,MESH:D013274,,PPP2R1A,88.49,,21364753
Memantine,D008559,19982-08-2,Entamoebiasis,MESH:D004749,,IL1B,3.85,,16374615
Methyl Parathion,D008743,298-00-0,Hyperalgesia,MESH:D006930,,NGF,8.95,,20457222
Dichloroacetic Acid,D003999,79-43-6,Liver Diseases,MESH:D008107,,TNF,9.24,,15946935
RSVA314,C570842,,Ischemia,MESH:D007511,,IL6,3.78,,18091701
ethyl-p-hydroxybenzoate,C012313,120-47-8,Non-alcoholic Fatty Liver Disease,MESH:D065626,,PPARG,8.44,,35654975
semilicoisoflavone B,C554447,,"Leukemia, Myeloid, Acute",MESH:D015470,,BCL2,10.67,,23906301
Tamoxifen,D013629,10540-29-1,"Cardiomyopathy, Dilated",MESH:D002311,,LMNA,14.55,115200,10580070|15996213|20019332|21689390
ceric oxide,C030583,1306-38-3,Silicosis,MESH:D012829,,IL1B,11.47,,23640035
Amiodarone,D000638,1951-25-3,"Isolated Growth Hormone Deficiency, Type II",MESH:C562704,,GH1,4.46,173100,
Troglitazone,D000077288,97322-87-7,Adenocarcinoma,MESH:D000230,,SMARCC1,61.86,,21552421
sulforaphane,C016766,,Retinal Diseases,MESH:D012164,,SIRT1,7.26,,23217256
"2,2,5,7,8-pentamethyl-1-hydroxychroman",C029141,950-99-2,Heat Stroke,MESH:D018883,,ALPL,5.57,,16878031
butylbenzyl phthalate,C027561,85-68-7,Parkinsonian Disorders,MESH:D020734,,ALDH1A1,2.19,,25045800
diacerein,C025292,,"Liver Cirrhosis, Experimental",MESH:D008106,,RELA,31.32,,26806094
Lidocaine,D008012,137-58-6,"Rhinitis, Allergic",MESH:D065631,,IL13,7.11,607154,
Silybin,D000077385,22888-70-6,Urogenital Neoplasms,MESH:D014565,,TP53,3.79,,17300232
labedipinedilol A,C500368,,Esophageal Squamous Cell Carcinoma,MESH:D000077277,,CCND1,8.22,,25151357
Tinopal CBS-X,C056656,38775-22-3,Small Cell Lung Carcinoma,MESH:D055752,,TP53,4.86,,22941188|22941189
"2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline",C036990,77500-04-0,Brain Ischemia,MESH:D002545,,CASP3,29.99,,11756504|17901229
Reserpine,D012110,50-55-5,Hyperoxia,MESH:D018496,,CYP1A1,3.92,,24893714
"3,4,5,4'-tetramethoxystilbene",C482492,,Cardiotoxicity,MESH:D066126,,FAS,17.59,,34713381
3-hydrogenkwadaphnin,C505417,,"Colitis, Ulcerative",MESH:D003093,,CASP3,3.82,,24055189
hainanolide,C020752,64761-48-4,"Liver Cirrhosis, Experimental",MESH:D008106,,CDK1,3.21,,25380136
Ethanol,D000431,64-17-5,"Leukemia, Myeloid, Acute",MESH:D015470,,TRP53,42.03,,25822087
decamethrin,C017180,52820-00-5,Body Weight,MESH:D001835,,FTO,1.9,,22344219|22344221
acetamide,C030686,60-35-5,Hypertension,MESH:D006973,,RGS2,9.37,,1798635
"2,3-bis(3'-hydroxybenzyl)butyrolactone",C029497,76543-15-2,Adenocarcinoma,MESH:D000230,,VEGFA,10.51,,26432044
bisphenol A,C006780,80-05-7,Lynch Syndrome II,MESH:D055847,,MLH1,3.34,609310,25077178
sodium bichromate,C016104,10588-01-9,Hepatomegaly,MESH:D006529,,CYP1B1,2.85,,27036855
bisphenol AF,C583074,,Stomach Diseases,MESH:D013272,,ANXA1,3.29,,15472012
Valproic Acid,D014635,99-66-1,Ureteral Obstruction,MESH:D014517,,HES1,11.66,,28318631
4-hydroxyphenyl 4-isopropoxyphenylsulfone,C000613560,,"Abortion, Spontaneous",MESH:D000022,,TGFB1,31.57,,18539642
Doxorubicin,D004317,23214-92-8,Emphysema,MESH:D004646,,IL17A,7.4,,27380433
malachite green,C005095,10309-95-2,Brain Ischemia,MESH:D002545,,MAPK1,12.1,,17901229
Esculin,D004929,531-75-9,"Liver Cirrhosis, Alcoholic",MESH:D008104,,TNF,4.02,,23274713
4-hydroxyphenyl 4-isopropoxyphenylsulfone,C000613560,,Kyphosis,MESH:D007738,,SLC26A2,3.14,,18925670
bisphenol A,C006780,80-05-7,"Disease Models, Animal",MESH:D004195,,SFXN1,8.51,,27602772
Fusaric Acid,D005669,536-69-6,Psychotic Disorders,MESH:D011618,,BDNF,3.54,,14708030
plumbagin,C014758,481-42-5,Alzheimer Disease,MESH:D000544,,BCL2,9.79,,18077176
Thapsigargin,D019284,67526-95-8,"Diabetes Mellitus, Type 2",MESH:D003924,,PAX6,28.55,,16123366
MRK 003,C523799,,Venous Thrombosis,MESH:D020246,,PLAT,3.02,,11144008|15557913|19415734
pterostilbene,C107773,,Prostatic Neoplasms,MESH:D011471,,TPT1,108.31,,17199135
Tetrachlorodibenzodioxin,D013749,1746-01-6,"Arthritis, Rheumatoid",MESH:D001172,,ANKRD55,95.73,,23143596
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester,C548651,,Colorectal Neoplasms,MESH:D015179,,KDR,42.67,,20346928|35917945
Chromium,D002857,7440-47-3,Hyperplasia,MESH:D006965,,LEP,9.52,,27712037
(+)-JQ1 compound,C561695,,Glomerulopathy with fibronectin deposits,MESH:C536826,,FN1,3.62,601894,
Arsenic Trioxide,D000077237,1327-53-3,Craniofacial Abnormalities,MESH:D019465,,ETS2,53.2,,19764029
amyloid beta-protein (1-40),C078592,,Hypertriglyceridemia,MESH:D015228,,AKT1,3.56,,32045588
Folic Acid,D005492,59-30-3,Hepatitis,MESH:D006505,,INS,8.68,,12243603
bisphenol A,C006780,80-05-7,Urinary Bladder Neck Obstruction,MESH:D001748,,PTGS2,2.22,,15311063
methylmercuric chloride,C004925,115-09-3,Neural Tube Defects,MESH:D009436,,NPY1R,2.62,,17400914
EZN 2968,C533794,,Idiopathic Pulmonary Fibrosis,MESH:D054990,,HIF1A,6.04,,28434932
Polystyrenes,D011137,,Erythrocyte Lactate Transporter Defect,MESH:C565449,,SLC16A1,4.97,245340,
"3,3',4,5'-tetrahydroxystilbene",C041525,4339-71-3,Precancerous Conditions,MESH:D011230,,IL6,23.45,,26297436
Troglitazone,D000077288,97322-87-7,Adenocarcinoma of Lung,MESH:D000077192,,PIK3CA,73.29,,22135231
raspberry ketone,C035522,5471-51-2,"Arthritis, Rheumatoid",MESH:D001172,,IL1B,12.55,,12566094|17379860|22450443
tubocapsenolide A,C000721052,,Prostatic Neoplasms,MESH:D011471,,JAK1,57.62,,29610475
thymoquinone,C003466,490-91-5,"Hepatitis, Alcoholic",MESH:D006519,,TNF,3.18,,12586603
RU24782,C000589030,,Multiple Myeloma,MESH:D009101,,IL6,3.77,,12855565|19330649|8520508
Ascorbic Acid,D001205,50-81-7,Stomach Neoplasms,MESH:D013274,,BMP7,116.83,,16367923
Air Pollutants,D000393,,"Carcinoma, Adenoid Cystic",MESH:D003528,,RBFOX2,100.69,,16762588
"Nanotubes, Carbon",D037742,,"Leukemia, Promyelocytic, Acute",MESH:D015473,,ME1,40.13,,32929351
Nitroprusside,D009599,15078-28-1,Hodgkin Disease,MESH:D006689,,MAPK1,4.45,,7545087
isopimaric acid,C115138,,Uterine Cervical Neoplasms,MESH:D002583,,CCND1,9.04,,26432044
Chlordecone,D007631,143-50-0,Hypertension,MESH:D006973,,ELN,5.39,,17039479
Indomethacin,D007213,53-86-1,"Lymphoma, T-Cell, Cutaneous",MESH:D016410,,NFKB2,7.5,,26192916
bisphenol F,C000611646,,Stomach Neoplasms,MESH:D013274,,BCL2L1,142.94,,26401016
icariin,C056599,489-32-7,Endomyocardial Fibrosis,MESH:D004719,,TGFB1,5.3,,25450231
chromic chloride,C022990,,Tooth Abnormalities,MESH:D014071,,RUNX2,4.88,,14688224
Carbon Tetrachloride,D002251,56-23-5,"Anemia, Aplastic",MESH:D000741,,IFNG,4.71,609135,
dulaglutide,C555680,,Pneumonia,MESH:D011014,,IL6,7.37,,21625544
pyrachlostrobin,C513428,,Yellow Nail Syndrome,MESH:D056684,,CELSR1,4.97,153300,
Coal,D003031,,Galactosemias,MESH:D005693,,GALK1,4.91,230200,7670469
eritoran,C512420,,Skin Diseases,MESH:D012871,,PTGS2,15.04,,15451306
manganese(III)-tetrakis(4-benzoic acid)porphyrin,C097284,,"Carcinoma, Renal Cell",MESH:D002292,,IL6,18.5,,7834629
Benzoates,D001565,,"Leukemia, Promyelocytic, Acute",MESH:D015473,,FLT3,5.59,,17454189|24160850|26285909
gardiquimod,C546771,,Psoriasis,MESH:D011565,,IFNLR1,14.47,,20953190
Cadmium Chloride,D019256,10108-64-2,Autistic Disorder,MESH:D001321,,DISC1,132.29,,17579608|20002455
sodium arsenite,C017947,13768-07-5,Osteoarthritis,MESH:D010003,,ADGRG2,37.44,,17568789
Glyphosate,D000097797,,Breast Neoplasms,MESH:D001943,,SOD2,167.49,,17965603|19385967|19756960|20562527
Tetanus Toxoid,D013745,,Breast Neoplasms,MESH:D001943,,TERT,13.43,,23535731
3-nitrobenzanthrone,C117220,,Ovarian Neoplasms,MESH:D010051,,EREG,56.48,,15313392
N-(5-(3-dimethylaminobenzamido)-2-methylphenyl)-4-hydroxybenzamide,C121825,,"CARDIOMYOPATHY, DILATED, 1NN",OMIM:615916,,RAF1,7.54,615916,
Arachidonic Acid,D016718,,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,,TNF,26.27,,31557154
Hydrogen Peroxide,D006861,7722-84-1,"Hepatitis, Chronic",MESH:D006521,,SOD1,16.74,,25053573
Flavanones,D044950,,Cocaine-Related Disorders,MESH:D019970,,MAPK3,5.18,,20692647
alpinetin,C436748,,Peptic Ulcer,MESH:D010437,,IL1B,3.53,,19448967
Asbestos,D001194,1332-21-4,Kidney Neoplasms,MESH:D007680,,MAPK1,6.6,,21813464
bisphenol S,C543008,,Multiple Myeloma,MESH:D009101,,IL6,4.56,,12855565|19330649|8520508
2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,C085911,154447-36-6,Bone Neoplasms,MESH:D001859,,PTGS2,10.53,,16489006
Huang Qi,C027492,,Coronary Restenosis,MESH:D023903,,TNF,3.7,,16319143
Sunitinib,D000077210,,Malformations of Cortical Development,MESH:D054220,,PIK3CA,6.23,,22729223
Ethyl Methanesulfonate,D005020,62-50-0,"Micronuclei, Chromosome-Defective",MESH:D048629,marker/mechanism,,,,24211769|27913846|29282847|30944280
Latex,D007840,,Proteinuria,MESH:D011507,,TGFB1,2.87,,12937228
zinc protoporphyrin,C017803,15442-64-5,Fatty Liver,MESH:D005234,,DDIT3,26.09,,27664470
sodium borohydride,C025364,16940-66-2,"Cholestasis, Extrahepatic",MESH:D001651,,ALB,11.87,,30026087
Thioacetamide,D013853,62-55-5,Peripheral Vascular Diseases,MESH:D016491,,DAB2IP,3.7,,20622881
Gemcitabine,D000093542,,"Diabetes Mellitus, Type 2",MESH:D003924,,PPARA,38.49,,17317762|31626838
Glucose,D005947,50-99-7,"Diabetes Mellitus, Experimental",MESH:D003921,,IL6,144.94,,22138235
bisdemethoxycurcumin,C034786,24939-16-0,Lung Neoplasms,MESH:D008175,,IL6,49.64,,26372664
acetyl-leucyl-glutamyl-histidyl-aspartal,C420218,,Brain Ischemia,MESH:D002545,,CASP9,3.87,,11756504
Ammonium Chloride,D000643,12125-02-9,Spinocerebellar ataxia 13,MESH:C537195,,KCNC3,4.45,605259,
CP 31398,C402665,,Peripheral Nervous System Diseases,MESH:D010523,,ATF3,5.38,,17686523
Arecoline,D001115,63-75-2,"Carcinoma, Transitional Cell",MESH:D002295,,MIR145,16.05,,30026881
trametinib,C560077,,Glomerulonephritis,MESH:D005921,,CCL5,4.9,,10385480
Aconitine,D000157,302-27-2,"Mammary Neoplasms, Experimental",MESH:D008325,,RBP4,12.11,,16316942
Nitroblue Tetrazolium,D009580,298-83-9,MELAS Syndrome,MESH:D017241,,SOD1,5.39,,11907800
coumarin,C030123,91-64-5,"Melanoma, Experimental",MESH:D008546,,BRAF,3.55,,29179997|29438700
nefazodone,C051752,83366-66-9,Chemical and Drug Induced Liver Injury,MESH:D056486,,GSTA4,61.33,,25231249
nimesulide,C012655,51803-78-2,Neoplasm Invasiveness,MESH:D009361,,EDNRB,36.91,,26213588
2-naphthoylethyltrimethylammonium,C055734,31059-54-8,Multiple Sclerosis,MESH:D009103,,IL12A,13.62,,24076602
hydroquinone,C031927,123-31-9,Cardiofaciocutaneous syndrome,MESH:C535579,,KRAS,11.0,615278,17703371
Okadaic Acid,D019319,78111-17-8,Necrosis,MESH:D009336,,GAPDH,25.2,,25725130
Quercetin,D011794,117-39-5,Adrenoleukodystrophy,MESH:D000326,,SOD2,7.38,,16319717
WP1066,C519885,,Marijuana Abuse,MESH:D002189,,AKT1,4.46,,21041608
chloropicrin,C100187,76-06-2,Sepsis,MESH:D018805,,RPL4,7.28,,27978524
schizandrol B,C033585,58546-54-6,Chemical and Drug Induced Liver Injury,MESH:D056486,,IL6,17.63,,15763341|7532385
rucaparib,C531549,,Desmoid Tumors,MESH:D018222,,TNF,4.51,,19944662
"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",C049584,105650-23-5,Myocardial Reperfusion Injury,MESH:D015428,,CAT,20.41,,21600015
dinitrobenzenesulfonic acid,C007488,12379-41-8,Pneumonia,MESH:D011014,,IL6,13.47,,21625544
Dinoprost,D015237,551-11-1,"Leukemia, Myeloid, Acute",MESH:D015470,,CCND2,6.93,,27798625
"4-methyl-N1-(3-phenylpropyl)benzene-1,2-diamine",C549066,,"Chondrosarcoma, Mesenchymal",MESH:D018211,,BCL2,4.41,,12817616
Zinc,D015032,7440-66-6,Colitis,MESH:D003092,,IL4,15.61,,24314293
Cadmium,D002104,7440-43-9,Ventricular Remodeling,MESH:D020257,,MFN2,10.21,,20886221
Crizotinib,D000077547,,Pancreatic Neoplasms,MESH:D010190,,EPCAM,11.87,,17446842
"Cilastatin, Imipenem Drug Combination",D000077728,92309-29-0,Vitiligo,MESH:D014820,,TNF,3.51,,28836394
quinocetone,C502851,,"Cutis laxa, recessive",MESH:C536225,,FBLN5,5.61,,12189163
morin,C008548,480-16-0,Keratosis,MESH:D007642,,NFE2L2,21.09,,20404090
veliparib,C521013,,Adrenocortical Carcinoma,MESH:D018268,,TP53,14.55,,23585556|24747642|9815696
Triclosan,D014260,3380-34-5,Basal Cell Carcinoma,MESH:D002280,,DUSP10,32.59,,36428691
EUK-189,C436526,,Endotoxemia,MESH:D019446,,SOD2,4.01,,16741687
acetamiprid,C464485,,Cocaine-Related Disorders,MESH:D019970,,GRIN1,7.16,,16014726|20149346
Dopamine,D004298,51-61-6,Prostatic Neoplasms,MESH:D011471,,GSTM1,58.44,,11275366|18304461|22564066
1-(4-ethoxyphenyl)-3-(4-nitrophenyl)-prop-2-en-1-one,C583916,,"Anemia, Refractory",MESH:D000753,,TNF,6.18,,10870480
Propylthiouracil,D011441,51-52-5,"Ventricular Dysfunction, Left",MESH:D018487,,PNPLA2,2.56,,35218467
Chelating Agents,D002614,,Asthma,MESH:D001249,,IL6R,20.3,,29902480
Chlordecone,D007631,143-50-0,Stevens-Johnson Syndrome,MESH:D013262,,PTGER3,2.07,,21966456
nickel chloride,C022838,7718-54-9,Cocaine-Related Disorders,MESH:D019970,,EGR1,4.99,,16157275|16738229|18311559
asparanin A,C540172,,Calcinosis,MESH:D002114,,ITGB1,13.76,,18340010
"baicalein 5,6,7-trimethyl ether",C497523,,Epilepsy,MESH:D004827,,TGFB1,4.06,,29483653
Maleates,D008298,,Carcinoma,MESH:D002277,,CCND1,3.47,,12376462|14522882|16316942|17173897
Tetrachlorodibenzodioxin,D013749,1746-01-6,Maxillary Diseases,MESH:D008439,,MMP2,2.46,,19070762
zerumbone,C403304,471-05-6,"Carnitine Palmitoyltransferase II Deficiency, Late-Onset",MESH:C563461,,CPT2,6.09,255110,
Tretinoin,D014212,302-79-4,Melanoma,MESH:D008545,,PTPRO,100.99,,21499247
bisphenol S,C543008,,"Liver Cirrhosis, Experimental",MESH:D008106,,NPDC1,708.11,,25380136
ginsenoside Rg1,C035054,22427-39-0,Coronary Restenosis,MESH:D023903,,TNF,3.27,,16319143
Silymarin,D012838,,Motor Neuron Disease,MESH:D016472,,SOD1,6.09,,16702190
(+)-JQ1 compound,C561695,,"Carcinoma, Transitional Cell",MESH:D002295,,ESPL1,11.38,,24121792
Benzo(a)pyrene,D001564,50-32-8,Hypertension,MESH:D006973,,IGF1,13.63,,19502719|22228705
bromfenacoum,C013418,56073-10-0,Colorectal Neoplasms,MESH:D015179,,STIP1,7.4,,33766539
AZM551248,C547126,,"Neuropathy, hereditary motor and sensory, LOM type",MESH:C535716,,NDRG1,4.26,601455,
azaspiracid,C406592,,Corneal Neovascularization,MESH:D016510,,VEGFA,4.37,,9301478
Hydroxyurea,D006918,127-07-1,Alzheimer Disease,MESH:D000544,,BAX,4.39,,18077176
Dextran Sulfate,D016264,9042-14-2,Arsenic Poisoning,MESH:D020261,,CXCL2,17.76,,16835338
morin,C008548,480-16-0,Obesity,MESH:D009765,,ADIPOQ,74.4,,10092513|14617771
graphene oxide,C000628730,,Status Epilepticus,MESH:D013226,,CCL2,7.19,,19490431|20034406
"O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphate",C009618,5598-15-2,Adenocarcinoma of Lung,MESH:D000077192,,TIMM10,28.04,,27602772
sodium nitrate,C031618,7631-99-4,Radiation Injuries,MESH:D011832,,SOD2,4.03,,16540396|21945096
methoxy poly(ethylene glycol-co-epsilon-caprolactone),C439611,,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403,,ABCB1,5.52,,21325069
Phenanthrolines,D010618,,Atrophy,MESH:D001284,,AHR,8.27,,20961953|7826670
Dihydrotestosterone,D013196,521-18-6,Diabetic Angiopathies,MESH:D003925,,THBS1,4.21,,25381014
5-furan-2yl-isoxazole-3-carboxylic acid (3-imidazol-1yl-propyl)-amide,C571720,,Prostatic Neoplasms,MESH:D011471,,BCL2,22.7,,16733517
incomplete Freund's adjuvant,C114843,,Drug Eruptions,MESH:D003875,,IL2,10.26,,31150805
Ozone,D010126,10028-15-6,Lymphoma,MESH:D008223,,OGG1,3.07,,17441966
fraxetin,C105671,574-84-5,Brain Ischemia,MESH:D002545,,CYCS,41.23,,11756504
triphenyl phosphate,C005445,115-86-6,"Alveolitis, Extrinsic Allergic",MESH:D000542,,SOD2,2.35,,10673208
Fulvestrant,D000077267,129453-61-8,Epilepsy,MESH:D004827,,AKT1,9.61,,20064661
"1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane",C534880,,Spinal Dysraphism,MESH:D016135,,CCL2,4.69,,16596675
2-chloro-5-nitrobenzanilide,C457499,,Myocardial Infarction,MESH:D009203,,BCL2,54.84,,19027736
zinc chloride,C016837,7646-85-7,Quadriplegia,MESH:D011782,,PMP22,3.42,,12427913
coumarin,C030123,91-64-5,Spinocerebellar Ataxia 17,MESH:C564616,,PDIA3,9.53,,24413982
GSK2193874,C000628859,,Urination Disorders,MESH:D014555,,TRPV4,5.09,,20956320
Indomethacin,D007213,53-86-1,Obesity,MESH:D009765,,HSD11B1,90.03,,17628001|21786805
Tetrachlorodibenzodioxin,D013749,1746-01-6,Neoplasm Invasiveness,MESH:D009361,,DNMT1,54.13,,28544374
Rosiglitazone,D000077154,,Amyloid Neuropathies,MESH:D017772,,APP,3.55,,27567873
Dieldrin,D004026,60-57-1,Pancreatic Neoplasms,MESH:D010190,,TNF,40.08,,16211219
bisphenol S,C543008,,NEMALINE MYOPATHY 8,OMIM:615348,,KLHL40,4.22,615348,
NSC 689534,C558013,,Neoplasm Invasiveness,MESH:D009361,,FN1,21.68,,24014025
Folic Acid,D005492,59-30-3,Urinary Bladder Neoplasms,MESH:D001749,,TRP53,40.18,,11376694|12706858
"3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide",C101850,,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",OMIM:157300,,ESR1,5.88,157300,
spiraeoside,C080613,20229-56-5,Prostatic Neoplasms,MESH:D011471,,TLR4,31.37,,17301271
"Adjuvants, Immunologic",D000276,,Precancerous Conditions,MESH:D011230,,CAT,8.09,,14580687
glimepiride,C057619,,Adenocarcinoma,MESH:D000230,,NR1I2,5.67,,21977915
MitoTEMPO,C555916,,Cardiovascular Abnormalities,MESH:D018376,,NOS2,3.17,,19587355
"2,6-Dichloroindophenol",D015086,956-48-9,Brain Ischemia,MESH:D002545,,TP53,28.96,,19095966
Guanidine,D019791,113-00-8,Coxsackievirus Infections,MESH:D003384,,SLC22A3,5.65,,21641380
fludarabine,C024352,21679-14-1,Breast Neoplasms,MESH:D001943,,CASP7,64.77,,16583263
Sorafenib,D000077157,,Glioma,MESH:D005910,,RTEL1,2.36,,19578366|19578367
4-hydroxyphenyl 4-isopropoxyphenylsulfone,C000613560,,"Reflex, Abnormal",MESH:D012021,,INS1,4.57,,3525850
Lutein,D014975,127-40-2,"Puberty, Precocious",MESH:D011629,,PTGS2,3.32,,21402727
tetrabromobisphenol A,C020806,79-94-7,"Rhabdomyosarcoma, Embryonal, 2",MESH:C566709,,DICER1,4.62,180295,
Edetic Acid,D004492,60-00-4,Cardiomegaly,MESH:D006332,,CYP1A1,7.67,,18725507
"2,4-dinitrotoluene",C016403,121-14-2,"Liver Cirrhosis, Experimental",MESH:D008106,,ALDH1L2,267.93,,25380136
