06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
testosterone undecanoate,C010792,,Endomyocardial Fibrosis,MESH:D004719,,ACE2,3.46,,19221212
Glucose,D005947,50-99-7,"Mammary Neoplasms, Animal",MESH:D015674,,FN1,87.28,,12376462
monodansylcadaverine,C008542,10121-91-2,Depressive Disorder,MESH:D003866,,IL6,5.01,,18458677
Ethinyl Estradiol,D004997,57-63-6,Leiomyoma,MESH:D007889,,SFRP1,2.55,,15972578
guggulu extract,C018562,,Pancreatic Neoplasms,MESH:D010190,,PTGS2,6.98,,10485483|10657949|15705899|16820089
Thiram,D013893,137-26-8,Breast Neoplasms,MESH:D001943,,FOXM1,115.73,,20208560
Phosgene,D010705,75-44-5,Anorexia,MESH:D000855,,TNF,3.06,,25392278
xiongshao,C528128,,Skin Neoplasms,MESH:D012878,,MMP9,3.32,,18572023
daidzein,C004742,486-66-8,Prostatic Neoplasms,MESH:D011471,,TP53,113.34,,16434975|17202838|20875869|21946351|25735316|26005866|29295717|29610475
Fluorouracil,D005472,51-21-8,Bloom Syndrome,MESH:D001816,,UNG,8.23,,2106500
"tris(1,3-dichloro-2-propyl)phosphate",C016805,13674-87-8,"Deafness, Autosomal Dominant 9",MESH:C563335,,COCH,4.29,601369,
PTC-209,C586999,,"Cell Transformation, Neoplastic",MESH:D002471,,GSK3B,16.39,,29626521
dehydroglyasperin D,C551630,,Atherosclerosis,MESH:D050197,,PPARG,4.72,,18269830
7-methylbenzanthracene,C021219,2541-69-7,"Dermatitis, Atopic",MESH:D003876,,AHR,10.0,,27869817
"9,10-Dimethyl-1,2-benzanthracene",D015127,57-97-6,Chemical and Drug Induced Liver Injury,MESH:D056486,,ACSL1,40.2,,25231249
"2,7-dihydroxynaphthalene",C107946,582-17-2,"Adrenal Hyperplasia, Congenital",MESH:D000312,,AVPR1A,5.5,,17218722
Fluorocarbons,D005466,,Prostatic Neoplasms,MESH:D011471,,HSD3B1,21.09,,17826523
4-hydroxyisoleucine,C104672,,Hypothermia,MESH:D007035,,TNF,2.49,,16369138|34942311
Sirolimus,D020123,,Neoplasm Invasiveness,MESH:D009361,,HMOX1,84.94,,24211270
pirinixic acid,C006253,50892-23-4,Breast Neoplasms,MESH:D001943,,RSPO3,151.15,,17468756
Duloxetine Hydrochloride,D000068736,136434-34-9,Muscular Atrophy,MESH:D009133,,AKT1,7.06,,18467435
manganese chloride,C025340,7773-01-5,Depressive Disorder,MESH:D003866,,ADORA2A,6.27,,26860412
bicyclol,C477843,,Glomerulonephritis,MESH:D005921,,IL6,10.19,,9403216
Methylcholanthrene,D008748,56-49-5,"Liver Neoplasms, Experimental",MESH:D008114,,SOX4,28.23,,21147764
Anisomycin,D000841,22862-76-6,Ovarian Neoplasms,MESH:D010051,,MAPK3,21.98,,16211241
Firemaster BP-6,C015885,59536-65-1,"Mesothelioma, Malignant",MESH:D000086002,,FTH1,7.51,,26818092
Methoxsalen,D008730,298-81-7,Thyroid Neoplasms,MESH:D013964,,TP53,5.0,,16940797
Cidofovir,D000077404,113852-37-2,Neoplasm Metastasis,MESH:D009362,,MTDH,15.76,,19111877
cannabidivarin,C580853,,Hypertension,MESH:D006973,,AR,8.48,,10523385
dorsomorphin,C516138,,Behcet Syndrome,MESH:D001528,,CAT,11.47,,12074830
"2-(4-chloro-6-(2,3-dimethylphenylamino)pyrimidin-2-ylthio)octanoic acid",C548544,,Edema,MESH:D004487,,PTGS2,3.02,,11820457
Manganese,D008345,7439-96-5,"Diabetes Mellitus, Type 1",MESH:D003922,,ABCC8,10.15,,18025464
candoxin,C459604,,Ataxia,MESH:D001259,,SNCA,3.08,,31783120
TAC 101,C112689,,"Dermatitis, Contact",MESH:D003877,,CASP8,3.41,,25724174
2-hydroxyestrone,C024980,362-06-1,Autism Spectrum Disorder,MESH:D000067877,,CYP1A1,17.19,,35663546
decabromobiphenyl ether,C010902,1163-19-5,Autism Spectrum Disorder,MESH:D000067877,,AHR,69.46,,35663546
Cyclosporine,D016572,59865-13-3,Hereditary Diffuse Leukoencephalopathy with Spheroids,MESH:C580150,,CSF1R,3.68,221820,
N(6)-(1-iminoethyl)lysine,C090663,,Memory Disorders,MESH:D008569,,IL1B,2.92,,21290410
Choline,D002794,62-49-7,Diabetic Retinopathy,MESH:D003930,,AGT,4.67,,15387897
Air Pollutants,D000393,,Insulin Resistance,MESH:D007333,,AS3MT,3.09,,35226250
Rotenone,D012402,83-79-4,"Diabetes Mellitus, Experimental",MESH:D003921,,CASP3,19.1,,20654064
Phenolphthalein,D020113,,"Infertility, Male",MESH:D007248,,ESR1,3.56,,20833731|23213263
Amiodarone,D000638,1951-25-3,Bronchopulmonary Dysplasia,MESH:D001997,,TXN,3.86,,20812253
Clofibric Acid,D002995,882-09-7,Trisomy,MESH:D014314,,CDKN2A,3.99,,21526190
2-bromopalmitate,C022776,18263-25-7,Fatty Liver,MESH:D005234,,PPARD,5.73,,23851158
puerarin,C033607,3681-99-0,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,,IGF1,23.44,,20064577
yakuchinone-A,C042566,78954-23-1,"Aortic Aneurysm, Abdominal",MESH:D017544,,PARP1,10.44,,30354818
Bicuculline,D001640,485-49-4,Essential Tremor,MESH:D020329,,GABRA1,4.63,,15765150
lead acetate,C008261,301-04-2,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,BIRC5,52.71,,16382892
Dipyrone,D004177,,Entamoebiasis,MESH:D004749,,IL6,10.96,,16374615
bisphenol A,C006780,80-05-7,Thyroid Neoplasms,MESH:D013964,,TNF,2.7,,26037280
Pyrones,D011753,,Atherosclerosis,MESH:D050197,,SOD2,7.65,,12677255|20720404
equiguard,C498475,,Leukemia,MESH:D007938,,CCND1,9.37,,10602166
decamethrin,C017180,52820-00-5,Severe Acute Respiratory Syndrome,MESH:D045169,,ACE,7.85,,15381116
albicanol,C438910,54632-04-1,Carcinogenesis,MESH:D063646,,NFE2L2,7.14,,29228771
1-propyl-8-(4-sulfophenyl)xanthine,C518874,,Prostatic Neoplasms,MESH:D011471,,FGF2,14.6,,12644816
cordycepin,C058120,73-03-0,"Diabetes Mellitus, Type 1",MESH:D003922,,IL2RA,30.87,,17676041|19119414|19701192|30224649
titanium dioxide,C009495,13463-67-7,Obesity,MESH:D009765,,TMEM18,74.75,,19079261
"chrysene-5,6-oxide",C050403,15131-84-7,Chemical and Drug Induced Liver Injury,MESH:D056486,,EPHX1,4.12,,25226513
"6-iodo-5-hydroxy-eicosatrienoic acid, delta-lactone",C026915,,Fatty Liver,MESH:D005234,,SOD1,7.51,,27349771
Dichloroacetic Acid,D003999,79-43-6,Neurodegenerative Diseases,MESH:D019636,,GSTM4,3.48,,15964507
indolebutyric acid,C014612,133-32-4,Movement Disorders,MESH:D009069,,ACHE,3.85,,19628251
rhodojaponin II,C000656713,,Polymyositis,MESH:D017285,,IL6,18.93,,7979221
Water,D014867,7732-18-5,Ischemia,MESH:D007511,,IL6,18.59,,18091701
Ethyl Methanesulfonate,D005020,62-50-0,Stomach Neoplasms,MESH:D013274,,HSPA8,45.43,,15378696
Atenolol,D001262,29122-68-7,Cardiomyopathies,MESH:D009202,,ADRB2,29.49,,25193472
Choline,D002794,62-49-7,Arsenic Poisoning,MESH:D020261,,TP53,30.62,,18621066|19203779
evodiamine,C049639,5956-87-6,"Shock, Hemorrhagic",MESH:D012771,,MPO,11.69,,21192278
PD 123319,C073402,130663-39-7,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK3,10.48,,24894820
Letrozole,D000077289,112809-51-5,Myocardial Reperfusion Injury,MESH:D015428,,ADIPOQ,14.41,,16155579
Ethyl Methanesulfonate,D005020,62-50-0,Alzheimer Disease,MESH:D000544,,TPP1,5.34,,10320038
Silver,D012834,7440-22-4,Glioblastoma,MESH:D005909,,FN1,25.48,,17099729
morin,C008548,480-16-0,"Pulmonary Disease, Chronic Obstructive",MESH:D029424,,MMP9,27.82,,19299917
"2,3,4,7,8-pentachlorodibenzofuran",C038890,57117-31-4,Weight Gain,MESH:D015430,,APBB2,4.88,,19030233
Deferoxamine,D003676,70-51-9,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",OMIM:157300,,TNF,3.54,157300,
toosendanin,C036454,79304-40-8,Thrombocytopenia 4,MESH:C567438,,CYCS,5.73,612004,
4-ethylphenol,C042291,123-07-9,Colitis,MESH:D003092,,IL4,3.95,,24314293
Thioacetamide,D013853,62-55-5,Intracranial Thrombosis,MESH:D020767,,SERPINC1,2.5,,6636041
cyclonite,C009160,121-82-4,"Liver Cirrhosis, Experimental",MESH:D008106,,NREP,11.13,,25380136
Chlorodiphenyl (54% Chlorine),D020111,11097-69-1,"Liver Cirrhosis, Experimental",MESH:D008106,,GSTA3,139.36,,25380136
Aluminum,D000535,7429-90-5,Subarachnoid Hemorrhage,MESH:D013345,,TNF,6.92,,27157545
"Vaccines, Virus-Like Particle",D058425,,Pulmonary Fibrosis,MESH:D011658,,CXCL8,25.96,,17266442|17894541
